"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Leonardo","Campana","New England Revolution","Center Forward","$1,494,992.00","$1,617,325.00"
"Reggie","Cannon","Colorado Rapids","Right-back","$750,000.00","$841,500.00"
"Osvaldo","Capemba","Sporting Kansas City","Left Wing","$600,000.00","$658,720.00"
"Christian","Cappis","FC Dallas","Central Midfield","$352,000.00","$352,000.00"
"Gustavo","Caraballo","Orlando City SC","Right Wing","$88,025.00","$94,400.00"
"Wikelman","Carmona","CF Montreal","Attacking Midfield","$550,000.00","$555,000.00"
"Máximo","Carrizo","New York City FC","Central Midfield","$150,000.00","$183,523.00"
"Wilder","Cartagena","Orlando City SC","Defensive Midfield","$480,000.00","$530,250.00"
"Cabral","Carter","LAFC","Goalkeeper","$88,025.00","$91,775.00"
"Nico","Cavallo","New York City FC","Left-back","$113,400.00","$115,248.00"
"Brayan","Ceballos","New England Revolution","Center-back","$775,000.00","$855,625.00"
"Roman","Celentano","FC Cincinnati","Goalkeeper","$525,000.00","$574,000.00"
"Edwin","Cerrillo","LA Galaxy","Defensive Midfield","$650,000.00","$662,500.00"
"Ademar","Chávez","FC Cincinnati","Attacking Midfield","$88,025.00","$113,840.00"
"Dylan","Chambost","Columbus Crew","Central Midfield","$600,000.00","$695,250.00"
"Tomás","Chancalay","Minnesota United","Left Wing","$1,150,000.00","$1,274,375.00"
"Kieran","Chandler","Minnesota United","Left-back","$88,025.00","$88,025.00"
"Diego","Chará","Portland Timbers","Central Midfield","$388,044.00","$388,044.00"
"Justin","Che","New York Red Bulls","Right-back","$440,000.00","$501,667.00"
"Yevgen","Cheberko","Columbus Crew","Center-back","$610,000.00","$658,250.00"
"Andrei","Chirilă","FC Cincinnati","Center-back","$88,025.00","$98,373.00"
"Ștefan","Chirilă","FC Cincinnati","Center Forward","$113,400.00","$128,180.00"
"Mathieu","Choinière","LAFC","Central Midfield","$725,000.00","$725,000.00"
"Dominik","Chong Qui","Atlanta United","Left-back","$88,025.00","$88,025.00"
"Eric-Maxim","Choupo-Moting","New York Red Bulls","Center Forward","$3,200,000.00","$3,530,667.00"
"José","Cifuentes","Toronto FC","Central Midfield","$1,374,999.96","$1,570,000.00"
"Markus","Cimermancic","Toronto FC","Central Midfield","$88,025.00","$101,881.00"
"Caden","Clark","DC United","Attacking Midfield","$400,000.00","$432,000.00"
"Will","Cleary","Charlotte FC","Right-back","$88,025.00","$89,309.00"
"Stefan","Cleveland","Sporting Kansas City","Goalkeeper","$215,000.00","$237,000.00"
"Noah","Cobb","Colorado Rapids","Center-back","$130,000.04","$130,000.04"
"Alonso","Coello","Toronto FC","Central Midfield","$300,000.00","$335,000.00"
"Josh","Cohen","Chicago Fire","Goalkeeper","$165,000.00","$181,250.00"
"Michael","Collodi","FC Dallas","Goalkeeper","$113,400.00","$125,825.00"
"Jaidyn","Contreras","FC Dallas","Left Wing","$88,025.00","$88,025.00"
"Theo","Corbeanu","Toronto FC","Right Wing","$450,000.00","$496,625.00"
