Atlanta United,Hernandez,Jose Rafael,D,$,"120,000.00",$,"120,000.00"
FC Dallas,Hernandez,Moises,D,$,"67,500.00",$,"67,500.00"
Real Salt Lake,Hernandez,Jose E,M,$,"67,500.00",$,"70,875.00"
Toronto FC,Hernandez,Jason,D,$,"67,500.00",$,"67,500.00"
New York City FC,Herrera,Yangel,M,$,"200,000.04",$,"200,000.04"
Real Salt Lake,Herrera,Aaron,D,$,"67,500.00",$,"67,500.00"
Columbus Crew,Higuain,Federico,M,$,"1,100,000.04",$,"1,100,000.04"
Orlando City SC,Higuita,Cristian,M,$,"444,996.00",$,"581,662.67"
Atlanta United,Hildebrandt,Mitch,GK,$,"67,500.00",$,"67,500.00"
LA Galaxy,Hilliard-Arce,Tomas,D,$,"90,000.00",$,"113,125.00"
San Jose Earthquakes,Hoesen,Danny,F,$,"465,000.00",$,"518,000.00"
New England Revolution,Hollinger-Janzen,Femi,F,$,"67,500.00",$,"67,500.00"
FC Dallas,Hollingshead,Ryan,D-M,$,"145,000.00",$,"145,000.00"
Real Salt Lake,Horst,David,D,$,"125,004.00",$,"131,629.00"
LAFC,Horta,Andre,M,$,"1,100,000.04",$,"1,198,000.04"
Real Salt Lake,Horwath,Alex,GK,$,"67,500.00",$,"73,362.50"
New York City FC,Hountondji,Cedric,D,$,"220,000.08",$,"258,333.41"
Colorado Rapids,Howard,Tim,GK,$,"2,000,000.00",$,"2,475,000.00"
Vancouver Whitecaps,Hurtado,Erik,F/M,$,"150,000.00",$,"156,250.00"
LA Galaxy,Husidic,Baggio,M,$,"174,999.96",$,"174,999.96"
San Jose Earthquakes,Hyka,Jahmir,M,$,"489,996.00",$,"539,996.00"
Minnesota United,Ibarra,Romario,M,$,"500,000.04",$,"546,250.04"
Minnesota United,Ibarra,Miguel,M,$,"300,000.00",$,"332,322.00"
New York City FC,Ibeagha,Sebastien,D,$,"67,500.00",$,"67,500.00"
LA Galaxy,Ibrahimovic,Zlatan,F,$,"1,500,000.00",$,"1,500,000.00"
Toronto FC,Irwin,Clint,GK,$,"210,000.00",$,"221,312.70"
New York Red Bulls,Ivan,Andreas,M,$,"240,000.00",$,"344,100.00"
Colorado Rapids,Jackson,Niki,F,$,"54,500.04",$,"54,500.04"
Montreal Impact,Jackson-Hamel,Anthony,F,$,"140,000.04",$,"155,000.04"
Portland Timbers,Jadama,Modou,D,$,"54,500.04",$,"54,500.04"
Columbus Crew,Jahn,Adam,F,$,"97,500.00",$,"97,500.00"
LAFC,Jakovic,Dejan,D,$,"150,000.00",$,"150,000.00"
LA Galaxy,Jamieson,Bradford,F,$,"72,765.00",$,"72,765.00"
Toronto FC,Janson,Lucas,F,$,"396,000.00",$,"449,000.00"
DC United,Jeffrey,Jared,M,$,"114,996.00",$,"124,996.00"
Columbus Crew,Jimenez,Hector,M,$,"159,996.00",$,"159,996.00"
Chicago Fire,Johnson,Daniel,M,$,"68,254.20",$,"68,254.20"
New York City FC,Johnson,Sean,GK,$,"250,008.00",$,"250,008.00"
Orlando City SC,Johnson,Will,M,$,"434,004.00",$,"470,004.00"
Philadelphia Union,Jones,Derrick,M,$,"70,000.00",$,"75,900.00"
Vancouver Whitecaps,Juarez,Efrain,D-M,$,"525,000.00",$,"619,833.33"
San Jose Earthquakes,Jungwirth,Florian,D-M,$,"500,004.00",$,"566,671.07"
Minnesota United,Kallman,Brent,D,$,"82,500.00",$,"85,791.67"
LA Galaxy,Kamara,Ola,F,$,"825,000.00",$,"925,000.00"
Vancouver Whitecaps,Kamara,Kei,F,$,"1,000,000.00",$,"1,000,000.00"
Atlanta United,Kann,Alec,GK,$,"94,008.00",$,"94,008.00"
Minnesota United,Kapp,Alex,GK,$,"55,654.20",$,"55,654.20"
Chicago Fire,Kappelhof,Johan,D,$,"555,000.00",$,"595,000.00"
